"File","LineCoverage","BranchCoverage","Complexity","TotalLines","CoveredLines","Classes"
"Core\Audit\AuditRecord.cs","100","0","27","27","27","1"
"Core\PromptComposer.cs","100","100","160","379","379","1"
"Core\StructuredOutput\StructuredPipelineResult.cs","100","100","23","53","53","1"
"Persistence\SaveResult.cs","100","0","6","15","15","1"
"Core\FunctionCalling\FunctionCallExecutor.cs","100","100","16","32","32","1"
"Core\ProcessConfig.cs","100","0","13","13","13","1"
"Persistence\Dtos\DialogueEntryDto.cs","100","0","3","3","3","1"
"Core\Audit\ModelFingerprint.cs","100","100","16","29","29","1"
"Core\Audit\ImportResult.cs","100","100","20","31","31","2"
"Core\StructuredInput\ContextSerializer.cs","100","100","11","39","39","1"
"Core\Expectancy\ConstraintSet.cs","100","100","33","69","69","1"
"Persona\MemoryTypes\CanonicalFact.cs","100","100","10","15","15","1"
"Core\ServerModels.cs","100","0","11","11","11","2"
"Core\Metrics\CacheEfficiencyMetrics.cs","100","100","20","61","61","1"
"Persona\IClock.cs","100","0","5","16","16","3"
"Core\Expectancy\ExpectancyEvaluator.cs","100","100","25","42","42","1"
